ZD_deg,Ereco_min_TeV,Ereco_max_TeV,BckgRate_per_second,Theta_cut_deg,Gammaness_cut
20.0,1.201064621002083,1.6016454135193978,1.4882594840937817,15.129297125546215,0.6874663400859701
20.0,1.6016454135193978,2.1358284856542067,1.931888985811689,14.118202497992318,0.725922272198153
20.0,2.1358284856542067,2.8481730610448213,1.7075819343812864,13.00508174095905,0.7418566298544118
20.0,2.8481730610448213,3.798099819413488,1.3536752532355403,12.069904690304432,0.7577177967451291
20.0,3.798099819413488,5.064847510683537,1.23902942694889,11.395865853352515,0.7631094910428099
20.0,5.064847510683537,6.754082706135557,1.2358250404998843,11.017271369959918,0.7636163466040389
20.0,6.754082706135557,9.006714043235426,1.2817545796023,10.946402343032748,0.7553590885524861
20.0,9.006714043235426,12.010646210020829,1.2984885977248857,11.165215755450904,0.7417559403631089
20.0,12.010646210020829,16.016454135193975,1.3607961120111085,11.619823474044924,0.7193469288039935
20.0,16.016454135193975,21.358284856542063,1.3789543018888077,12.254529336512483,0.6969273589157328
20.0,21.358284856542063,28.48173061044821,1.3768180442561373,13.095135226991994,0.6717051976762131
20.0,28.48173061044821,37.98099819413488,1.362932369643779,14.103169946318173,0.6448312813955186
20.0,37.98099819413488,50.64847510683537,1.4028091787869617,15.135166630676657,0.6253858907403691
20.0,50.64847510683537,67.54082706135557,1.5811866911149484,17.041795397064767,0.5943262042145029
30.0,1.4417783234573573,1.9226422947588913,1.2236620580582622,14.207989092373609,0.6504412850142598
30.0,1.9226422947588913,2.5638847064446564,2.0320391816744046,13.378858058024283,0.6977869097754054
30.0,2.5638847064446564,3.418995205639722,1.8363858986786388,12.093998773794578,0.7266204951008302
30.0,3.418995205639722,4.559303383184221,1.551961634610479,11.034424775665046,0.7405760960419528
30.0,4.559303383184221,6.0799287772109105,1.4075812458548034,10.245106256818655,0.7448575888919247
30.0,6.0799287772109105,8.107715330437301,1.3667670016835876,9.975868498308664,0.7428319744669681
30.0,8.107715330437301,10.811812159017284,1.4726289475026784,10.03610571221055,0.7270025674274416
30.0,10.811812159017284,14.41778323457357,1.4688026121116269,10.382107751538602,0.7131819706601213
30.0,14.41778323457357,19.226422947588908,1.4361512167746544,10.585318876762937,0.6932915645101101
30.0,19.226422947588908,25.63884706444656,1.5353808479159226,11.342921198347454,0.6661704488481055
30.0,25.63884706444656,34.18995205639721,1.5295138003163105,11.976772027563142,0.640660085755228
30.0,34.18995205639721,45.5930338318422,1.4598744961991734,12.58693662866486,0.6208948992914992
30.0,45.5930338318422,60.79928777210909,1.6792510586194582,14.320441495485717,0.5943593845991837
40.0,2.1631697541438433,2.8846332285582834,1.1985203452527744,13.704979702457008,0.6093401797826604
40.0,2.8846332285582834,3.846720234212955,1.9733353884093712,12.16151328981729,0.6640558802641985
40.0,3.846720234212955,5.129683875859297,1.969636251541307,10.789282867455162,0.6930872376367806
40.0,5.129683875859297,6.8405433886810005,1.6774044389642417,9.844002689453376,0.7088788562742631
40.0,6.8405433886810005,9.122011216449247,1.5713625154130704,9.341109934761636,0.7047059826114037
40.0,9.122011216449247,12.164397461569306,1.5679716399506782,9.38270908278238,0.6900922215369738
40.0,12.164397461569306,16.221484724355804,1.63039457459926,9.513110988438624,0.6685975794331139
40.0,16.221484724355804,21.631697541438438,1.6085080147965474,9.847546437290323,0.6489709229550515
40.0,21.631697541438438,28.84633228558284,1.6914303329223181,10.312497137508384,0.6298523062521373
40.0,28.84633228558284,38.46720234212956,1.7011405672009865,10.984898557822953,0.6092661166172917
40.0,38.46720234212956,51.29683875859298,1.722410604192355,11.735885686954243,0.5878539213239509
40.0,51.29683875859298,68.40543388681003,1.68788532675709,12.767792277127503,0.5717522562172734
60.0,8.941678863179723,11.923920403571946,1.5813186177089162,16.03365343982259,0.5644170068194571
60.0,11.923920403571946,15.900803413572742,2.8343334555347597,12.743639619254031,0.5688616023106391
60.0,15.900803413572742,21.204062140614994,3.2065332741621164,10.86192289283473,0.5738250238153962
60.0,21.204062140614994,28.276071313433025,3.096744939896193,10.070369567344406,0.5730668811620939
60.0,28.276071313433025,37.706747113841494,2.8845003569567984,9.472800836878505,0.5675011336953323
60.0,37.706747113841494,50.28275541347019,3.08912342987246,9.495144485555722,0.5530738673183635
60.0,50.28275541347019,67.05313201208891,3.307445925868756,9.820193214492116,0.53931489500955
