ZD_deg,Etrue_min_TeV,Etrue_max_TeV,Aeff_m2,emig_mu_loc,emig_mu_scale,emig_mu_a,emig_model,n_events,fit_mse
20,0.48896638427146416,0.7150402724894495,34000,0.0,0.1,0.0,skewnorm,34,0.0
20,0.7150402724894495,1.045639552591273,903000,0.0,0.1,0.0,skewnorm,903,0.0
20,1.045639552591273,1.5290915994656933,4685000,0.0,0.1,0.0,skewnorm,4685,0.0
20,1.5290915994656933,2.2360679774997894,9293000,0.0,0.1,0.0,skewnorm,9293,0.0
20,2.2360679774997894,3.2699152894091723,11161000,0.0,0.1,0.0,skewnorm,11161,0.0
20,3.2699152894091723,4.781762498950183,11519000,0.0,0.1,0.0,skewnorm,11519,0.0
20,4.781762498950183,6.9926131329529735,11028000,0.0,0.1,0.0,skewnorm,11028,0.0
20,6.9926131329529735,10.225651825635723,10458000,0.0,0.1,0.0,skewnorm,10458,0.0
20,10.225651825635723,14.953487812212204,9379000,0.0,0.1,0.0,skewnorm,9379,0.0
20,14.953487812212204,21.86724147886555,7956000,0.0,0.1,0.0,skewnorm,7956,0.0
20,21.86724147886555,31.97757311872762,6632000,0.0,0.1,0.0,skewnorm,6632,0.0
20,31.97757311872762,46.762422391131054,5375000,0.0,0.1,0.0,skewnorm,5375,0.0
20,46.762422391131054,68.3830552045834,4413000,0.0,0.1,0.0,skewnorm,4413,0.0
20,68.3830552045834,100.0,3180000,0.0,0.1,0.0,skewnorm,3180,0.0
30,0.7150402724894495,1.045639552591273,148000,0.0,0.1,0.0,skewnorm,148,0.0
30,1.045639552591273,1.5290915994656933,1845000,0.0,0.1,0.0,skewnorm,1845,0.0
30,1.5290915994656933,2.2360679774997894,6645000,0.0,0.1,0.0,skewnorm,6645,0.0
30,2.2360679774997894,3.2699152894091723,10871000,0.0,0.1,0.0,skewnorm,10871,0.0
30,3.2699152894091723,4.781762498950183,12386000,0.0,0.1,0.0,skewnorm,12386,0.0
30,4.781762498950183,6.9926131329529735,12546000,0.0,0.1,0.0,skewnorm,12546,0.0
30,6.9926131329529735,10.225651825635723,11649000,0.0,0.1,0.0,skewnorm,11649,0.0
30,10.225651825635723,14.953487812212204,10685000,0.0,0.1,0.0,skewnorm,10685,0.0
30,14.953487812212204,21.86724147886555,9094000,0.0,0.1,0.0,skewnorm,9094,0.0
30,21.86724147886555,31.97757311872762,7419000,0.0,0.1,0.0,skewnorm,7419,0.0
30,31.97757311872762,46.762422391131054,6315000,0.0,0.1,0.0,skewnorm,6315,0.0
30,46.762422391131054,68.3830552045834,4896000,0.0,0.1,0.0,skewnorm,4896,0.0
30,68.3830552045834,100.0,3840000,0.0,0.1,0.0,skewnorm,3840,0.0
40,1.045639552591273,1.5290915994656933,103000,0.0,0.1,0.0,skewnorm,103,0.0
40,1.5290915994656933,2.2360679774997894,1455000,0.0,0.1,0.0,skewnorm,1455,0.0
40,2.2360679774997894,3.2699152894091723,5960000,0.0,0.1,0.0,skewnorm,5960,0.0
40,3.2699152894091723,4.781762498950183,10704000,0.0,0.1,0.0,skewnorm,10704,0.0
40,4.781762498950183,6.9926131329529735,13029000,0.0,0.1,0.0,skewnorm,13029,0.0
40,6.9926131329529735,10.225651825635723,12497000,0.0,0.1,0.0,skewnorm,12497,0.0
40,10.225651825635723,14.953487812212204,11182000,0.0,0.1,0.0,skewnorm,11182,0.0
40,14.953487812212204,21.86724147886555,10188000,0.0,0.1,0.0,skewnorm,10188,0.0
40,21.86724147886555,31.97757311872762,8385000,0.0,0.1,0.0,skewnorm,8385,0.0
40,31.97757311872762,46.762422391131054,6924000,0.0,0.1,0.0,skewnorm,6924,0.0
40,46.762422391131054,68.3830552045834,5518000,0.0,0.1,0.0,skewnorm,5518,0.0
40,68.3830552045834,100.0,4297000,0.0,0.1,0.0,skewnorm,4297,0.0
60,4.781762498950183,6.9926131329529735,27000,0.0,0.1,0.0,skewnorm,27,0.0
60,6.9926131329529735,10.225651825635723,405000,0.0,0.1,0.0,skewnorm,405,0.0
60,10.225651825635723,14.953487812212204,2106000,0.0,0.1,0.0,skewnorm,2106,0.0
60,14.953487812212204,21.86724147886555,4514000,0.0,0.1,0.0,skewnorm,4514,0.0
60,21.86724147886555,31.97757311872762,5846000,0.0,0.1,0.0,skewnorm,5846,0.0
60,31.97757311872762,46.762422391131054,6275000,0.0,0.1,0.0,skewnorm,6275,0.0
60,46.762422391131054,68.3830552045834,5476000,0.0,0.1,0.0,skewnorm,5476,0.0
60,68.3830552045834,100.0,4544000,0.0,0.1,0.0,skewnorm,4544,0.0
